,element_no,tri_node_1,tri_node_2,tri_node_3,tri_node_1_x,tri_node_1_y,tri_node_2_x,tri_node_2_y,tri_node_3_x,tri_node_3_y
22,23,38,41,37,3.476636378192952,1.147463589555106,4.030930304035739,1.123074737897087,3.745913491193614,1.569346645067195
23,24,32,39,38,3.250000000000002,1.56698729810778,2.99610606303216,1.157408320231019,3.476636378192952,1.147463589555106
24,25,7,29,6,1.499999999999998,0.0,1.249999999999998,0.4330127018922189,0.9999999999999977,0.0
25,26,12,30,11,4.0,0.0,3.694843539709155,0.4226175011124291,3.5,0.0
26,27,20,50,32,3.000000000000002,2.0,2.749941924383125,1.571324812332076,3.250000000000002,1.56698729810778
27,28,46,48,47,2.0231597432481,1.148880181020442,2.25,0.700961894323342,2.503210967713378,1.161550039477819
28,29,6,42,5,0.9999999999999977,0.0,0.7521186846404371,0.4233860225279155,0.4999999999999988,0.0
29,30,29,44,43,1.249999999999998,0.4330127018922189,1.4578803593991,0.8082402716192769,0.997282156394609,0.8114914710077723
30,31,29,51,44,1.249999999999998,0.4330127018922189,1.795969305337597,0.4336521442400622,1.4578803593991,0.8082402716192769
31,32,29,42,6,1.249999999999998,0.4330127018922189,0.7521186846404371,0.4233860225279155,0.9999999999999977,0.0
32,33,8,51,7,1.999999999999998,0.0,1.795969305337597,0.4336521442400622,1.499999999999998,0.0
33,34,10,33,9,2.999999999999999,0.0,2.749999999999999,0.4330127018922193,2.499999999999999,0.0
34,35,13,49,12,4.5,0.0,4.23499358596483,0.383679001794405,4.0,0.0
35,36,27,36,26,0.0,0.9999999999999991,0.3953531183916654,1.281619653166405,0.0,1.499999999999999
36,37,47,50,31,2.503210967713378,1.161550039477819,2.749941924383125,1.571324812332076,2.250000000000001,1.566987298107781
37,38,32,38,37,3.250000000000002,1.56698729810778,3.476636378192952,1.147463589555106,3.745913491193614,1.569346645067195
38,39,22,31,21,2.000000000000001,2.0,2.250000000000001,1.566987298107781,2.500000000000001,2.0
39,40,31,50,21,2.250000000000001,1.566987298107781,2.749941924383125,1.571324812332076,2.500000000000001,2.0
40,41,24,34,23,1.0,2.0,1.24805626154998,1.549769692095735,1.5,2.0
41,42,34,45,23,1.24805626154998,1.549769692095735,1.772358580597649,1.577213465952082,1.5,2.0
42,43,46,47,31,2.0231597432481,1.148880181020442,2.503210967713378,1.161550039477819,2.250000000000001,1.566987298107781
43,44,32,50,39,3.250000000000002,1.56698729810778,2.749941924383125,1.571324812332076,2.99610606303216,1.157408320231019
44,45,7,51,29,1.499999999999998,0.0,1.795969305337597,0.4336521442400622,1.249999999999998,0.4330127018922189
